iter	Passed	Remaining
464	746	858
465	747	856
466	748	854
467	749	852
468	751	850
469	756	852
470	757	850
471	758	848
472	759	846
473	760	843
474	761	841
475	762	839
476	763	836
477	764	834
478	765	832
479	766	830
480	768	828
481	769	826
482	770	824
483	771	822
484	772	820
485	774	818
486	775	816
487	776	814
488	778	813
489	779	810
490	780	808
491	781	806
492	782	805
493	783	802
494	784	800
495	785	798
496	787	796
497	788	794
498	789	792
499	790	790
500	791	788
501	793	786
502	794	784
503	795	782
504	796	780
505	797	778
506	798	776
507	799	774
508	801	772
509	802	770
510	803	768
511	804	766
512	805	764
513	806	762
514	807	760
515	808	758
516	809	756
517	810	754
518	812	752
519	813	750
520	814	748
521	815	746
522	816	744
523	817	742
524	818	740
525	819	738
526	820	736
527	821	734
528	822	732
529	823	730
530	824	728
531	825	726
532	826	724
533	827	722
534	828	720
535	829	718
536	831	716
537	832	714
538	833	712
539	833	710
540	834	708
541	836	706
542	837	704
543	838	702
544	839	700
545	840	698
546	841	696
547	842	694
548	843	693
549	844	690
550	845	688
551	846	687
552	848	685
553	849	684
554	850	682
555	852	680
556	853	678
557	854	676
558	855	675
559	856	673
560	858	671
561	859	669
562	860	667
563	862	666
564	863	664
565	864	662
566	865	661
567	867	659
568	868	657
569	869	656
570	871	654
571	873	653
572	874	651
573	875	649
574	876	647
575	879	647
576	880	645
577	881	643
578	884	643
579	886	641
580	887	640
581	888	638
582	890	636
583	891	635
584	892	633
585	893	631
586	896	630
587	897	629
588	898	627
589	900	625
590	901	624
591	903	622
592	904	620
593	905	619
594	907	617
595	908	615
596	909	613
597	910	612
598	912	610
599	913	609
600	914	607
601	916	605
602	918	604
603	919	602
604	920	601
605	921	599
606	923	597
607	924	595
608	925	594
609	926	592
610	927	590
611	929	589
612	930	587
613	931	585
614	932	583
615	934	582
616	935	580
617	937	579
618	939	577
619	940	576
620	941	574
621	942	572
622	943	571
623	945	569
624	946	567
625	947	565
626	948	564
627	949	562
628	950	560
629	952	559
630	953	557
631	954	555
632	955	554
633	956	552
634	957	550
635	958	548
636	960	547
637	962	545
638	962	544
639	964	542
640	966	541
641	967	539
642	968	537
643	969	535
644	970	534
645	971	532
646	973	530
647	974	529
648	975	527
649	976	526
650	977	524
651	978	522
652	980	521
653	982	519
654	983	517
655	984	516
656	985	514
657	986	512
658	988	511
659	989	509
660	990	508
661	991	506
662	993	504
663	994	502
664	994	501
665	995	499
666	997	497
667	998	496
668	999	494
669	1000	492
670	1000	490
671	1001	489
672	1003	487
673	1004	485
674	1005	483
675	1005	482
676	1007	480
677	1008	478
678	1009	477
679	1010	475
680	1010	473
681	1011	471
682	1012	470
683	1013	468
684	1014	466
685	1015	464
686	1016	463
687	1017	461
688	1018	459
689	1019	458
690	1020	456
691	1021	454
692	1021	452
693	1022	450
694	1023	449
695	1024	447
696	1025	445
697	1026	444
698	1028	442
699	1029	441
700	1030	439
701	1031	437
702	1032	436
703	1033	434
704	1034	432
705	1035	431
706	1036	429
707	1037	427
708	1038	426
709	1038	424
710	1041	423
711	1042	421
712	1043	420
713	1044	418
714	1045	416
715	1046	415
716	1047	413
717	1048	411
718	1049	410
719	1050	408
720	1051	407
721	1052	405
722	1053	403
723	1054	402
724	1055	400
725	1056	398
726	1057	397
727	1058	395
728	1059	393
729	1060	392
730	1061	390
731	1062	389
732	1063	387
733	1064	385
734	1069	385
735	1071	384
736	1072	382
737	1074	381
738	1075	379
739	1077	378
740	1078	377
741	1080	375
742	1082	374
743	1083	372
744	1084	371
745	1086	369
746	1087	368
747	1089	366
748	1090	365
749	1091	363
750	1092	362
751	1093	360
752	1094	358
753	1095	357
754	1096	355
755	1098	354
756	1099	353
757	1101	351
758	1103	350
759	1104	348
760	1105	347
761	1105	345
762	1107	343
763	1108	342
764	1109	340
765	1110	339
766	1111	337
767	1112	335
768	1113	334
769	1114	332
770	1115	331
771	1116	329
772	1117	328
773	1118	326
774	1119	325
775	1120	323
776	1121	321
777	1122	320
778	1123	318
779	1124	317
780	1125	315
781	1126	314
782	1127	312
783	1128	310
784	1129	309
785	1130	307
786	1131	306
787	1132	304
788	1133	303
789	1135	301
790	1136	300
791	1137	298
792	1137	297
793	1138	295
794	1139	293
795	1140	292
796	1141	290
797	1142	289
798	1143	287
799	1144	286
800	1146	284
801	1147	283
802	1148	281
803	1148	280
804	1150	278
805	1151	277
806	1152	275
807	1153	273
808	1153	272
809	1154	270
810	1156	269
811	1157	267
812	1158	266
813	1159	264
814	1160	263
815	1161	261
816	1162	260
817	1163	258
818	1164	257
819	1165	255
820	1166	254
821	1167	252
822	1168	251
823	1169	249
824	1170	248
825	1171	246
826	1171	245
827	1172	243
828	1173	242
829	1174	240
830	1175	239
831	1176	237
832	1177	236
833	1178	234
834	1179	233
835	1180	231
836	1181	230
837	1182	228
838	1185	227
839	1187	226
840	1190	225
841	1191	223
842	1192	222
843	1194	220
844	1196	219
845	1199	218
846	1201	217
847	1202	215
848	1205	214
849	1207	213
850	1208	211
851	1211	210
852	1211	208
853	1213	207
854	1215	206
855	1218	204
856	1220	203
857	1223	202
858	1225	201
859	1227	199
860	1229	198
861	1231	197
862	1233	195
863	1235	194
864	1236	193
865	1237	191
866	1239	190
867	1241	188
868	1242	187
869	1244	185
870	1245	184
871	1247	183
872	1248	181
873	1249	180
874	1251	178
875	1252	177
876	1254	175
877	1255	174
878	1256	173
879	1258	171
880	1259	170
881	1260	168
882	1261	167
883	1263	165
884	1264	164
885	1266	162
886	1268	161
887	1269	160
888	1270	158
889	1271	157
890	1273	155
891	1274	154
892	1275	152
893	1276	151
894	1278	149
895	1279	148
896	1280	147
897	1281	145
898	1282	144
899	1284	142
900	1285	141
901	1286	139
902	1287	138
903	1288	136
904	1289	135
905	1291	133
906	1292	132
907	1293	131
908	1293	129
909	1294	128
910	1296	126
911	1297	125
912	1298	123
913	1298	122
914	1299	120
915	1300	119
916	1301	117
917	1302	116
918	1303	114
919	1304	113
920	1305	111
921	1306	110
922	1307	109
923	1308	107
924	1310	106
925	1311	104
926	1312	103
927	1313	101
928	1314	100
929	1315	99
930	1316	97
931	1318	96
932	1318	94
933	1319	93
934	1320	91
935	1321	90
936	1322	88
937	1323	87
938	1324	86
939	1325	84
940	1326	83
941	1326	81
942	1328	80
943	1329	78
944	1330	77
945	1331	75
946	1331	74
947	1332	73
948	1334	71
949	1334	70
950	1335	68
951	1336	67
952	1337	65
953	1338	64
954	1339	63
955	1340	61
956	1341	60
957	1342	58
958	1343	57
959	1344	56
960	1345	54
961	1346	53
962	1347	51
963	1347	50
964	1349	48
965	1350	47
966	1351	46
967	1352	44
968	1353	43
969	1354	41
970	1355	40
971	1356	39
972	1357	37
973	1358	36
974	1359	34
975	1360	33
976	1361	32
977	1362	30
978	1362	29
979	1363	27
980	1365	26
981	1366	25
982	1367	23
983	1368	22
984	1369	20
985	1370	19
986	1371	18
987	1372	16
988	1372	15
989	1374	13
990	1374	12
991	1376	11
992	1377	9
993	1378	8
994	1379	6
995	1379	5
996	1380	4
997	1381	2
998	1382	1
999	1383	0
